                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4876,                 5.6854,                 4.3174,                      0,                      0,                      0,                      0,                 3.3786,                 5.9652,                 4.1599,                      0,                      0,                      0
                      2,                 3.3451,                 5.7483,                 4.3562,                      0,                      0,                      0,                      0,                 3.3783,                 5.9652,                 4.1601,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.1404,                 5.6537,                 4.3211,                      0,                      0,                      0,                      0,                 3.3781,                 5.9655,                 4.1604,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 3.0613,                 5.7137,                 4.3556,                      0,                      0,                      0,                      0,                 3.3778,                 5.9659,                 4.1606,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.4358,                  5.563,                 4.3561,                      0,                      0,                      0,                      0,                 3.3776,                  5.966,                 4.1609,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  2.803,                  5.281,                 4.3204,                      0,                      0,                      0,                      0,                 3.3773,                 5.9664,                 4.1611,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.9091,                 5.8188,                 4.4181,                      0,                      0,                      0,                      0,                 3.3771,                 5.9676,                 4.1613,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.4923,                 5.7488,                 4.3594,                      0,                      0,                      0,                      0,                 3.3768,                 5.9679,                 4.1616,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.0852,                 5.5985,                 4.2782,                      0,                      0,                      0,                      0,                 3.3766,                  5.968,                 4.1619,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.5245,                 5.5114,                 4.2688,                      0,                      0,                      0,                      0,                 3.3763,                  5.968,                 4.1623,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 3.3542,                 5.7806,                  4.292,                      0,                      0,                      0,                      0,                 3.3761,                  5.968,                 4.1626,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.1285,                 5.8749,                 4.3637,                      0,                      0,                      0,                      0,                 3.3759,                 5.9683,                 4.1629,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.2813,                 5.6307,                 4.3584,                      0,                      0,                      0,                      0,                 3.3757,                  5.969,                 4.1632,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.8113,                 5.5582,                 4.3153,                      0,                      0,                      0,                      0,                 3.3754,                 5.9694,                 4.1635,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.0938,                 5.7978,                 4.2831,                      0,                      0,                      0,                      0,                 3.3752,                   5.97,                 4.1639,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.5411,                 5.4374,                 4.3909,                      0,                      0,                      0,                      0,                  3.375,                 5.9703,                 4.1642,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.2118,                 5.8026,                 4.4126,                      0,                      0,                      0,                      0,                 3.3748,                 5.9704,                 4.1645,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 3.1344,                 5.7483,                 4.2598,                      0,                      0,                      0,                      0,                 3.3748,                 5.9704,                 4.1645,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 3.3785,                 5.4999,                  4.312,                      0,                      0,                      0,                      0,                 3.3744,                 5.9703,                 4.1653,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  3.517,                  5.746,                 4.3234,                      0,                      0,                      0,                      0,                 3.3744,                 5.9703,                 4.1653,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.2022,                 5.5099,                 4.2525,                      0,                      0,                      0,                      0,                 3.3739,                 5.9702,                 4.1657,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.9962,                 5.5375,                  4.258,                      0,                      0,                      0,                      0,                 3.3739,                 5.9702,                 4.1657,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 3.0904,                 5.5558,                 4.3164,                      0,                      0,                      0,                      0,                 3.3735,                 5.9704,                 4.1667,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 3.2969,                 5.4067,                 4.2413,                      0,                      0,                      0,                      0,                 3.3735,                 5.9704,                 4.1667,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                  3.378,                 5.5424,                 4.3704,                      0,                      0,                      0,                      0,                  3.373,                   5.97,                 4.1673,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 3.3546,                 5.6021,                 4.3792,                      0,                      0,                      0,                      0,                  3.373,                   5.97,                 4.1673,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 3.0882,                 5.5338,                 4.2628,                      0,                      0,                      0,                      0,                 3.3726,                 5.9701,                 4.1681,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                  3.278,                  5.611,                 4.2982,                      0,                      0,                      0,                      0,                 3.3726,                 5.9701,                 4.1681,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 3.1618,                 5.6702,                 4.3075,                      0,                      0,                      0,                      0,                 3.3722,                 5.9706,                 4.1695,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 3.2821,                  5.495,                 4.2396,                      0,                      0,                      0,                      0,                 3.3722,                 5.9706,                 4.1695,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 3.2636,                 5.5274,                 4.3221,                      0,                      0,                      0,                      0,                 3.3717,                 5.9706,                 4.1704,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.9014,                 5.6733,                 4.3447,                      0,                      0,                      0,                      0,                 3.3717,                 5.9706,                 4.1704,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.8042,                  5.681,                 4.2678,                      0,                      0,                      0,                      0,                 3.3713,                 5.9713,                 4.1714,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 3.0059,                 5.6411,                 4.2707,                      0,                      0,                      0,                      0,                 3.3713,                 5.9713,                 4.1714,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 3.2042,                 5.3739,                  4.263,                      0,                      0,                      0,                      0,                 3.3709,                 5.9721,                 4.1722,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.8624,                 5.6408,                 4.3731,                      0,                      0,                      0,                      0,                 3.3709,                 5.9721,                 4.1722,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  3.755,                 5.6468,                 4.3243,                      0,                      0,                      0,                      0,                 3.3705,                 5.9722,                 4.1731,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.6894,                 5.9357,                 4.3356,                      0,                      0,                      0,                      0,                 3.3705,                 5.9722,                 4.1731,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.0935,                 5.5321,                 4.2275,                      0,                      0,                      0,                      0,                 3.3701,                 5.9723,                  4.174,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 3.0578,                 5.4907,                 4.4347,                      0,                      0,                      0,                      0,                 3.3701,                 5.9723,                  4.174,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.1931,                 5.8226,                 4.2431,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                 4.1749,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.1113,                 5.8578,                 4.3539,                      0,                      0,                      0,                      0,                 3.3699,                 5.9726,                 4.1749,             2.8986e-05,             2.8986e-05,             2.8986e-05
