                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0974,                 0.7766,                0.93472,                 0.8447,                0.47465,                0.52082,                 0.5928,                0.38674,                0.33321,                0.43238,                0.44252,                0.24094,                 1.2255,                0.99825,                 2.7274,                 1.2961,             0.00040675,             0.00040675,             0.00040675
                      2,                 1.1441,                0.70974,                 0.9411,                0.80051,                0.49782,                0.52776,                0.58723,                0.38531,                0.30175,                0.43176,                0.41935,                0.23189,                 1.2403,                  1.101,                 2.5281,                 1.2898,             0.00082314,             0.00082314,             0.00082314
                      3,                 1.1244,                 0.6299,                0.92274,                0.84777,                0.49782,                0.52776,                0.58723,                0.38531,                0.30175,                0.43176,                0.41935,                0.23189,                 1.2403,                  1.101,                 2.5281,                 1.2898,              0.0012393,              0.0012393,              0.0012393
                      4,                 3.1391,                 6.2865,                 4.1747,                0.95227,                0.51259,                0.29865,                  0.319,                0.11703,                0.53511,                0.31154,                0.33035,                0.13461,                 2.7496,                 6.2381,                  2.403,                 1.7093,              0.0012488,              0.0012488,              0.0012488
                      5,                 3.2196,                 6.8574,                  3.201,                0.95641,                0.55393,                0.34185,                0.34019,                0.16327,                0.46411,                0.36292,                0.37228,                0.19599,                 2.8032,                 8.6163,                 2.1914,                 1.5467,              0.0012484,              0.0012484,              0.0012484
                      6,                 3.0111,                 5.9594,                 3.0013,                 1.0026,                0.55393,                0.34185,                0.34019,                0.16327,                0.46411,                0.36292,                0.37228,                0.19599,                 2.8032,                 8.6163,                 2.1914,                 1.5467,              0.0012479,              0.0012479,              0.0012479
                      7,                  2.938,                 1.8553,                 2.1251,                 1.1381,                0.64194,                0.30054,                0.30212,                0.10599,                0.65132,                0.31283,                 0.3464,                0.18313,                 2.9613,                  3.685,                 2.8698,                 1.6617,              0.0012475,              0.0012475,              0.0012475
                      8,                 2.7615,                 2.1253,                 2.1048,                 1.0491,                0.85823,                   0.25,                 0.3408,                 0.1462,                0.19398,                0.36376,                0.37226,                0.24116,                 2.2805,                 1.1083,                 3.1422,                  1.467,              0.0012471,              0.0012471,              0.0012471
                      9,                 2.5921,                 1.6736,                 1.9836,                0.94746,                0.85823,                   0.25,                 0.3408,                 0.1462,                0.19398,                0.36376,                0.37226,                0.24116,                 2.2805,                 1.1083,                 3.1422,                  1.467,              0.0012467,              0.0012467,              0.0012467
                     10,                 2.6092,                 1.6434,                 2.1548,                 0.9558,                      1,                 0.1875,                0.32433,                0.19429,                      1,                 0.1875,                0.32706,                0.21796,                  2.114,                 1.3712,                 5.3127,                 1.3985,              0.0012463,              0.0012463,              0.0012463
                     11,                 2.2818,                 1.2855,                 1.9733,                0.90553,                0.91667,                   0.25,                0.31447,                0.16424,                0.91667,                   0.25,                0.28556,                 0.1717,                 1.9455,                 1.2795,                 4.5416,                 1.5016,              0.0012459,              0.0012459,              0.0012459
                     12,                 2.0308,                 1.1637,                 1.6738,                0.95451,                0.91667,                   0.25,                0.31447,                0.16424,                0.91667,                   0.25,                0.28556,                 0.1717,                 1.9455,                 1.2795,                 4.5416,                 1.5016,              0.0012455,              0.0012455,              0.0012455
                     13,                 1.9206,                 1.1382,                 1.7005,                0.91556,                0.26296,                 0.3799,                0.40392,                0.19978,                0.18057,                0.33827,                0.35416,                0.21354,                 1.8042,                 1.1037,                 2.5703,                 1.3646,              0.0012451,              0.0012451,              0.0012451
